Source,Target
alvaro-uribe-velez,adriana-gutierrez-jaramillo
alvaro-uribe-velez,alejandro-ordonez
alvaro-uribe-velez,alfredo-rangel-suarez
alvaro-uribe-velez,alvaro-cruz-vargas
alvaro-uribe-velez,alvaro-hernan-prada
alvaro-uribe-velez,alvaro-vasquez
alvaro-uribe-velez,andres-gonzalez-diaz
alvaro-uribe-velez,angela-sofia-garzon-caicedo
alvaro-uribe-velez,arturo-calderon-rivadeneira
alvaro-uribe-velez,carlos-ardila-l&uuml;lle
alvaro-uribe-velez,carlos-eduardo-enriquez-maya-qepd
alvaro-uribe-velez,carlos-felipe-cordoba-larrarte
alvaro-uribe-velez,carlos-gomez-espitia
alvaro-uribe-velez,carlos-jose-bitar
alvaro-uribe-velez,claudia-blum
alvaro-uribe-velez,edgar-gomez-roman
alvaro-uribe-velez,enrique-penalosa-londono
alvaro-uribe-velez,fernando-londono-hoyos
alvaro-uribe-velez,francisco-santos-calderon
alvaro-uribe-velez,gabriel-santos-garcia
alvaro-uribe-velez,gabriel-vallejo-lopez
alvaro-uribe-velez,ivan-aguilar-zambrano
alvaro-uribe-velez,ivan-duque-marquez
alvaro-uribe-velez,jose-felix-lafaurie-rivera
alvaro-uribe-velez,juan-carlos-velez-uribe
alvaro-uribe-velez,juan-jose-rendon
alvaro-uribe-velez,leonardo-barrero-gordillo
alvaro-uribe-velez,maria-claudia-lacouture-pinedo
alvaro-uribe-velez,maria-del-rosario-guerra-de-la-espriella
alvaro-uribe-velez,maria-fernanda-cabal
alvaro-uribe-velez,mario-montoya-uribe
alvaro-uribe-velez,nancy-patricia-gutierrez
alvaro-uribe-velez,nilson-elias-pinilla-pinilla
alvaro-uribe-velez,oscar-dario-perez
alvaro-uribe-velez,paloma-valencia-laserna
alvaro-uribe-velez,piedad-zuccardi
alvaro-uribe-velez,rafael-guarin-cotrino
alvaro-uribe-velez,roberto-ortiz-uruena
alvaro-uribe-velez,rodrigo-rivera-salazar
alvaro-uribe-velez,sergio-araujo-castro
alvaro-uribe-velez,viviane-aleyda-morales-hoyos
alfredo-ramos-maya,ivan-duque-marquez
alfredo-ramos-maya,oscar-dario-perez
