Source,Target
alvaro-uribe-velez,alberto-carrasquilla-barrera
alvaro-uribe-velez,alejandro-eder-garces
alvaro-uribe-velez,alfredo-ramos-maya
alvaro-uribe-velez,alicia-arango-olmos
alvaro-uribe-velez,alvaro-balcazar-vanegas
alvaro-uribe-velez,alvaro-garcia-jimenez
alvaro-uribe-velez,andres-felipe-arias
alvaro-uribe-velez,angelino-garzon
alvaro-uribe-velez,beatriz-londono-soto
alvaro-uribe-velez,beatriz-uribe-botero
alvaro-uribe-velez,bernardo-moreno
alvaro-uribe-velez,carlos-holmes-trujillo-qepd
alvaro-uribe-velez,carlos-medellin-becerra
alvaro-uribe-velez,carlos-rodado-noriega
alvaro-uribe-velez,cecilia-alvarez-correa
alvaro-uribe-velez,cecilia-maria-velez-white
alvaro-uribe-velez,cesar-mauricio-velasquez-ossa
alvaro-uribe-velez,cesar-pardo-villalba
alvaro-uribe-velez,claudia-jimenez-jaramillo
alvaro-uribe-velez,cristina-pardo-schlesinger
alvaro-uribe-velez,dario-montoya-mejia
alvaro-uribe-velez,diego-molano-aponte
alvaro-uribe-velez,edmundo-del-castillo
alvaro-uribe-velez,eduardo-montealegre
alvaro-uribe-velez,elvira-forero
alvaro-uribe-velez,emma-claudia-castellanos
alvaro-uribe-velez,everardo-murillo-sanchez
alvaro-uribe-velez,fabio-aristizabal-angel
alvaro-uribe-velez,fabio-valencia-cossio
alvaro-uribe-velez,felipe-munoz-gomez
alvaro-uribe-velez,felipe-sardi-cruz
alvaro-uribe-velez,francisco-jose-lloreda-mera
alvaro-uribe-velez,frank-joseph-pearl-gonzalez
alvaro-uribe-velez,german-cardona-gutierrez
alvaro-uribe-velez,gina-parody-d-echeona
alvaro-uribe-velez,guido-echeverri-piedrahita
alvaro-uribe-velez,hector-maldonado-gomez
alvaro-uribe-velez,henry-eder-caicedo
alvaro-uribe-velez,henry-villarraga-oliveros
alvaro-uribe-velez,isabel-segovia-ospina
alvaro-uribe-velez,jaime-granados-pena
alvaro-uribe-velez,jaime-lombana-villalba
alvaro-uribe-velez,jaime-restrepo-cuartas
alvaro-uribe-velez,jorge-armando-otalora
alvaro-uribe-velez,jorge-enrique-mora-rangel
alvaro-uribe-velez,jorge-mario-eastman-robledo
alvaro-uribe-velez,jorge-pretelt-chaljub
alvaro-uribe-velez,jose-fernando-cardona-uribe
alvaro-uribe-velez,jose-obdulio-gaviria-velez
alvaro-uribe-velez,juan-lozano-ramirez
alvaro-uribe-velez,juan-lucas-restrepo-ibiza
alvaro-uribe-velez,juan-manuel-santos-calderon
alvaro-uribe-velez,julia-miranda-londono
alvaro-uribe-velez,liliana-rendon-roldan
alvaro-uribe-velez,luis-alberto-moreno
alvaro-uribe-velez,luis-alfonso-hoyos-aristizabal
alvaro-uribe-velez,luis-alfonso-plazas-vega
alvaro-uribe-velez,luis-camilo-osorio-isaza
alvaro-uribe-velez,luis-carlos-restrepo-ramirez
alvaro-uribe-velez,luis-guillermo-giraldo-hurtado
alvaro-uribe-velez,luis-guillermo-plata
alvaro-uribe-velez,manuel-santiago-mejia-correa
alvaro-uribe-velez,margarita-leonor-cabello-blanco
alvaro-uribe-velez,maria-carolina-hoyos-turbay
alvaro-uribe-velez,maria-consuelo-araujo-castro
alvaro-uribe-velez,maria-del-pilar-hurtado
alvaro-uribe-velez,maria-del-rosario-guerra-de-la-espriella
alvaro-uribe-velez,maria-mercedes-lopez-mora
alvaro-uribe-velez,maria-paulina-riveros
alvaro-uribe-velez,maria-victoria-calle-correa
alvaro-uribe-velez,marta-lucia-ramirez
alvaro-uribe-velez,miguel-esteban-penaloza-barrientos
alvaro-uribe-velez,miguel-gomez-martinez
alvaro-uribe-velez,nestor-diaz-saavedra
alvaro-uribe-velez,oscar-dario-perez
alvaro-uribe-velez,oscar-ivan-zuluaga-escobar
alvaro-uribe-velez,oscar-naranjo-trujillo
alvaro-uribe-velez,paola-holguin-moreno
alvaro-uribe-velez,paula-marcela-moreno
alvaro-uribe-velez,ramiro-valencia-cossio
alvaro-uribe-velez,raul-agudelo-medina
alvaro-uribe-velez,rodrigo-lara-restrepo
alvaro-uribe-velez,santiago-montenegro-trujillo
alvaro-uribe-velez,sergio-jaramillo-caro
alvaro-uribe-velez,susana-correa-borrero
alvaro-uribe-velez,yaneth-giha-tovar
alberto-carrasquilla-barrera,alvaro-uribe-velez
alberto-carrasquilla-barrera,ivan-duque-marquez
alberto-carrasquilla-barrera,luis-alberto-rodriguez-ospino
alberto-carrasquilla-barrera,luis-fernando-mejia
alejandro-eder-garces,alvaro-uribe-velez
alejandro-eder-garces,juan-manuel-santos-calderon
alfredo-ramos-maya,alvaro-uribe-velez
alicia-arango-olmos,alvaro-uribe-velez
alicia-arango-olmos,bernardo-moreno
alicia-arango-olmos,cesar-mauricio-velasquez-ossa
alicia-arango-olmos,daniel-avila-camacho
alicia-arango-olmos,daniel-palacios-martinez
alicia-arango-olmos,edmundo-del-castillo
alicia-arango-olmos,enrique-penalosa-londono
alicia-arango-olmos,ivan-duque-marquez
alicia-arango-olmos,jorge-pino-ricci
alicia-arango-olmos,juan-manuel-santos-calderon
alicia-arango-olmos,maria-del-pilar-hurtado
alicia-arango-olmos,miguel-esteban-penaloza-barrientos
alicia-arango-olmos,paola-meneses-mosquera
alvaro-balcazar-vanegas,alvaro-uribe-velez
alvaro-balcazar-vanegas,humberto-de-la-calle
alvaro-balcazar-vanegas,juan-manuel-santos-calderon
alvaro-balcazar-vanegas,sergio-jaramillo-caro
alvaro-balcazar-vanegas,simon-gaviria-munoz
alvaro-garcia-jimenez,alvaro-uribe-velez
andres-felipe-arias,alvaro-uribe-velez
andres-felipe-arias,andres-valencia-pinzon
andres-felipe-arias,luis-guillermo-plata
andres-felipe-arias,oscar-ivan-zuluaga-escobar
andres-felipe-arias,paula-marcela-moreno
angelino-garzon,aida-avella-esquivel
angelino-garzon,alvaro-uribe-velez
angelino-garzon,ana-teresa-bernal
angelino-garzon,andres-pastrana-arango
angelino-garzon,carlos-holmes-trujillo-qepd
angelino-garzon,daniel-avila-camacho
angelino-garzon,eduardo-verano-de-la-rosa
beatriz-londono-soto,alvaro-uribe-velez
beatriz-londono-soto,antanas-mockus
beatriz-londono-soto,enrique-penalosa-londono
beatriz-londono-soto,juan-camilo-restrepo-salazar
beatriz-londono-soto,juan-lucas-restrepo-ibiza
beatriz-londono-soto,juan-manuel-santos-calderon
beatriz-londono-soto,mauricio-santa-maria-salamanca
beatriz-uribe-botero,alvaro-uribe-velez
beatriz-uribe-botero,brigitte-baptiste
beatriz-uribe-botero,juan-camilo-restrepo-salazar
beatriz-uribe-botero,juan-manuel-santos-calderon
beatriz-uribe-botero,julia-miranda-londono
